FLOW_IN,MEAN_FLOW_OUT
400,384.84
500,480.9599999999999
600,575.64
700,671.4
800,765.0000000000001
900,860.76
1000,955.0799999999999
1100,1049.7600000000002
1200,1143.7199999999998
1300,1237.32
1400,1332.3600000000001
1500,1427.4
1600,1520.28
1700,1617.48
1800,1708.2
1900,1796.7599999999998
2000,1728.72
2100,1756.08
2200,1627.9199999999998
2300,1661.0400000000002
2400,1536.84
2500,1558.0800000000002
2600,1502.28
2700,1535.4
2800,1463.04
2900,1443.6
3000,1452.2399999999998
3100,1446.84
3200,1439.2800000000002
3300,1438.9199999999998
3400,1436.04
3500,1434.6
